run_id,block,kappa,theta_perp,theta_par,ub_x,ub_y,ub_z,ub_label,mode,seed,n_samples,n_nonfinite,file
117,B,10,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1003,100000,0,run_0117.bin
118,B,10,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1004,100000,0,run_0118.bin
119,B,10,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1005,100000,0,run_0119.bin
120,B,10,1,2,0,0,1,z,uncapped,1001,100000,0,run_0120.bin
121,B,10,1,2,0,0,1,z,uncapped,1002,100000,0,run_0121.bin
122,B,10,1,2,0,0,1,z,uncapped,1003,100000,0,run_0122.bin
123,B,10,1,2,0,0,1,z,uncapped,1004,100000,0,run_0123.bin
124,B,10,1,2,0,0,1,z,uncapped,1005,100000,0,run_0124.bin
125,B,10,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1001,100000,0,run_0125.bin
126,B,10,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1002,100000,0,run_0126.bin
127,B,10,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1003,100000,0,run_0127.bin
128,B,10,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1004,100000,0,run_0128.bin
129,B,10,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1005,100000,0,run_0129.bin
130,B,10,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1001,100000,0,run_0130.bin
131,B,10,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1002,100000,0,run_0131.bin
132,B,10,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1003,100000,0,run_0132.bin
133,B,10,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1004,100000,0,run_0133.bin
134,B,10,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1005,100000,0,run_0134.bin
