method,precision,stdlib,tag,kappa,shape_a,n_seeds,n_attempted,n_nonfinite,rate,ci_lo,ci_hi,is_upper_bound,x2_zero,max_finite_log_component
SPLIT_released,float,libc++,libcxx,0.505,0.004999995231628418,5,5000000,2981852,0.5963704,0.595940200557439,0.5968004878379849,false,NA,52.43860305008039
SPLIT_released,float,libc++,libcxx,0.51,0.009999990463256836,5,5000000,1776854,0.3553708,0.3549512577809665,0.35579050971241594,false,NA,52.40512830136261
SPLIT_released,float,libc++,libcxx,0.55,0.050000011920928955,5,5000000,28179,0.0056358,0.005570369807304753,0.0057018036857307206,false,NA,52.192927113114415
SPLIT_released,float,libc++,libcxx,0.6,0.10000002384185791,5,5000000,163,3.26e-05,2.7787472424424216e-05,3.8006519466950834e-05,false,NA,51.770281137423616
SPLIT_released,float,libc++,libcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,29.279736817647056
SPLIT_released,float,libc++,libcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,14.689820916322878
SPLIT_released,float,libc++,libcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.9269625757008795
SPLIT_released,float,libc++,libcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.656542256161089
SPLIT_released,float,libc++,libcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.4920818030436958
SPLIT_released,float,libstdc++,libstdcxx,0.5001,0.00010001659393310547,5,5000000,4948353,0.9896706,0.9895815929734026,0.9897590392756725,false,NA,52.14987360539845
SPLIT_released,float,libstdc++,libstdcxx,0.501,0.0009999871253967285,5,5000000,4509010,0.901802,0.9015408298087494,0.9020627047795262,false,NA,52.36117801037048
SPLIT_released,float,libstdc++,libstdcxx,0.505,0.004999995231628418,5,5000000,2984063,0.5968126,0.5963824766163116,0.5972426112670228,false,NA,52.310528721881646
SPLIT_released,float,libstdc++,libstdcxx,0.51,0.009999990463256836,5,5000000,1778809,0.3557618,0.35534215414544296,0.3561816128951167,false,NA,52.524233158042044
SPLIT_released,float,libstdc++,libstdcxx,0.55,0.050000011920928955,5,5000000,28673,0.0057346,0.005668600380622819,0.0058011729878581055,false,NA,52.216489276925216
SPLIT_released,float,libstdc++,libstdcxx,0.6,0.10000002384185791,5,5000000,165,3.3e-05,2.815684877192659e-05,3.843705162708496e-05,false,NA,51.977361370339395
SPLIT_released,float,libstdc++,libstdcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,29.623208936736575
SPLIT_released,float,libstdc++,libstdcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,15.50765317028618
SPLIT_released,float,libstdc++,libstdcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.864040350464694
SPLIT_released,float,libstdc++,libstdcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.380650938084376
SPLIT_released,float,libstdc++,libstdcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.5076177051125503
SPLIT_released,float,libstdc++,libstdcxx-contractfast,0.5001,0.00010001659393310547,5,5000000,4948353,0.9896706,0.9895815929734026,0.9897590392756725,false,NA,52.14987360539845
SPLIT_released,float,libstdc++,libstdcxx-contractfast,0.501,0.0009999871253967285,5,5000000,4509009,0.9018018,0.9015406295721617,0.9020625050163409,false,NA,52.36117801037048
SPLIT_released,float,libstdc++,libstdcxx-contractfast,0.505,0.004999995231628418,5,5000000,2984047,0.5968094,0.596379276064616,0.5972394118224319,false,NA,52.310528721881646
SPLIT_released,float,libstdc++,libstdcxx-contractfast,0.51,0.009999990463256836,5,5000000,1778798,0.3557596,0.35533995472770785,0.3561794123153957,false,NA,52.52423294925841
SPLIT_released,float,libstdc++,libstdcxx-contractfast,0.55,0.050000011920928955,5,5000000,28672,0.0057344,0.0056684015282463356,0.005800971840486477,false,NA,52.216489276925216
SPLIT_released,float,libstdc++,libstdcxx-contractfast,0.6,0.10000002384185791,5,5000000,165,3.3e-05,2.815684877192659e-05,3.843705162708496e-05,false,NA,51.977361370339395
SPLIT_released,float,libstdc++,libstdcxx-contractfast,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,29.623208793714273
SPLIT_released,float,libstdc++,libstdcxx-contractfast,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,15.507652986161569
SPLIT_released,float,libstdc++,libstdcxx-contractfast,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.864038286254818
SPLIT_released,float,libstdc++,libstdcxx-contractfast,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.380649813859257
SPLIT_released,float,libstdc++,libstdcxx-contractfast,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.5076177051125503
SPLIT_replica,double,libc++,libcxx,0.5001,9.999999999998899e-05,5,5000000,4641522,0.9283044,0.9280779237937282,0.9285303800578198,false,4641522,372.7467923242993
SPLIT_replica,double,libc++,libcxx,0.501,0.0010000000000000009,5,5000000,2375531,0.4751062,0.4746683967691715,0.4755440320596814,false,2375531,373.0684766024695
