scope,tag,case,method,precision,kappa,cap,attempts_1,attempts_2,attempts_per_return,block,block_order,cap_rejects,cap_rejects_per_return,engine_calls,engine_calls_1,engine_calls_2,engine_calls_per_return,gamma_variates,gamma_variates_per_return,iqr_ratio,iqr_seconds_per_attempt,iqr_seconds_per_return,log_primitive,median_seconds_per_attempt,median_seconds_per_return,median_time_per_return_ratio,n_attempted,n_blocks,n_finite,n_returned,ratio_ci_hi,ratio_ci_lo,repeat_identical,seconds,seconds_per_attempt,seconds_per_return,total_attempts,total_returned,uniform_variates,uniform_variates_per_return
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,6,1,0,NA,205013336,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137061,26140697,NA,NA,NA,2.31454179,8.854170147031657e-08,8.854170147031657e-08,NA,NA,107026370,NA
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,7,0,0,NA,205021838,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137087,26140697,NA,NA,NA,2.31832346,8.868636746755451e-08,8.868636746755451e-08,NA,NA,107028704,NA
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,8,1,0,NA,204994492,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137087,26140697,NA,NA,NA,2.31392525,8.851811602422078e-08,8.851811602422078e-08,NA,NA,107025628,NA
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,9,0,0,NA,204995252,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137186,26140697,NA,NA,NA,2.31114188,8.841163952131805e-08,8.841163952131805e-08,NA,NA,107026934,NA
summary,libcxx,B1,LOG,float,0.55,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,7.842665786608521,NA,1.0,NA,1.4312912161445753e-10,1.4312912161445753e-10,LOG-PUB,8.847925975347942e-08,8.847925975347942e-08,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,261406970,261406970,NA,4.094247517577668
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,0,0,0,NA,241922116,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30829810,31006011,NA,NA,NA,2.29126229,7.389735783813017e-08,7.389735783813017e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,1,1,0,NA,241945056,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30829943,31006011,NA,NA,NA,2.28965762,7.384560432491622e-08,7.384560432491622e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,2,0,0,NA,241940668,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30829963,31006011,NA,NA,NA,2.28537987,7.37076391413265e-08,7.37076391413265e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,3,1,0,NA,241943878,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30829720,31006011,NA,NA,NA,2.28951971,7.384115647769073e-08,7.384115647769073e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,4,0,0,NA,241939820,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30830225,31006011,NA,NA,NA,2.29109237,7.38918776104414e-08,7.38918776104414e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,5,1,0,NA,241950222,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30829872,31006011,NA,NA,NA,2.29492321,7.401542913727277e-08,7.401542913727277e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,6,0,0,NA,241940172,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30830355,31006011,NA,NA,NA,2.28963392,7.38448399570006e-08,7.38448399570006e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,7,1,0,NA,241940712,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30830041,31006011,NA,NA,NA,2.28514283,7.369999417209778e-08,7.369999417209778e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,8,0,0,NA,241927906,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30830245,31006011,NA,NA,NA,2.28852937,7.380921621939694e-08,7.380921621939694e-08,NA,NA,62012022,NA
block,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,1.0,9,1,0,NA,241904498,NA,NA,NA,62012022,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,31006011,NA,30830279,31006011,NA,NA,NA,2.28868687,7.381429587959573e-08,7.381429587959573e-08,NA,NA,62012022,NA
summary,libcxx,B1,SPLIT,float,0.55,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,7.802858123220043,NA,2.0,NA,6.982315461346984e-11,6.982315461346984e-11,LOG-PUB,7.384299821734566e-08,7.384299821734566e-08,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,310060110,310060110,NA,2.0
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,0,1,0,NA,283017108,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.33084275,1.354834011755126e-07,1.354834011755126e-07,NA,NA,77022200,NA
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,1,0,0,NA,283031696,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.30312058,1.3387201238509944e-07,1.3387201238509944e-07,NA,NA,77019520,NA
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,2,1,0,NA,283028868,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.30004546,1.3369326685770476e-07,1.3369326685770476e-07,NA,NA,77026214,NA
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,3,0,0,NA,283044364,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.29736808,1.335376405081197e-07,1.335376405081197e-07,NA,NA,77019166,NA
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,4,1,0,NA,283019444,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.30011779,1.336974711372114e-07,1.336974711372114e-07,NA,NA,77023742,NA
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,5,0,0,NA,283038472,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.30446267,1.339500231895107e-07,1.339500231895107e-07,NA,NA,77031566,NA
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,6,1,0,NA,283067588,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.33895733,1.3595507216125832e-07,1.3595507216125832e-07,NA,NA,77022286,NA
