method,precision,tag,kappa,shape_a,transform,null_cdf,ecdf_residual,null_cdf_z_orientation,ecdf_residual_z_orientation,band_lo,band_hi,n,resolved_fraction
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.19773830017952942,-0.00041330017952942444,0.19773830017952942,-0.00041330017952942444,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.20109576573078114,-0.00042576573078115243,0.20109576573078114,-0.00042576573078115243,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.20443965500775774,-0.0004263216744244125,0.20443965500775774,-0.0004263216744244125,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2077709519513702,-0.0004126186180368474,0.2077709519513702,-0.0004126186180368474,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.21120128609273348,-0.0004979527594001498,0.21120128609273348,-0.0004979527594001498,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2145121104410438,-0.0004654437743771278,0.2145121104410438,-0.0004654437743771278,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2178115225644216,-0.0004198558977549227,0.2178115225644216,-0.0004198558977549227,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.22119383467819653,-0.0004571680115298682,0.22119383467819653,-0.0004571680115298682,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.22443389539393202,-0.00035389539393201885,0.22443389539393202,-0.00035389539393201885,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2276564116097316,-0.00023141160973161323,0.2276564116097316,-0.00023141160973161323,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2310728416955813,-0.00030284169558128515,0.2310728416955813,-0.00030284169558128515,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.23430595916829122,-0.00019262583495788244,0.23430595916829122,-0.00019262583495788244,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.23766609913457337,-0.00020776580124004518,0.23766609913457337,-0.00020776580124004518,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.24104760654182245,-0.00024427320848910417,0.24104760654182245,-0.00024427320848910417,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.24440825796118637,-0.00025992462785304205,0.24440825796118637,-0.00025992462785304205,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2478687383258349,-0.0003770716591682266,0.2478687383258349,-0.0003770716591682266,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.25119829684550987,-0.0003616301788432197,0.25119829684550987,-0.0003616301788432197,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2546492280483411,-0.00046756138167447503,0.2546492280483411,-0.00046756138167447503,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.25796767135808407,-0.000442671358084068,0.25796767135808407,-0.000442671358084068,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2613683600243011,-0.0004983600243010922,0.2613683600243011,-0.0004983600243010922,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2647735740678674,-0.0005585740678674123,0.2647735740678674,-0.0005585740678674123,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2680497424875886,-0.0004914091542552734,0.2680497424875886,-0.0004914091542552734,-0.002101253071889096,0.002101253071889096,600000,1.0
