tag,precision,kappa,shape_a,method,bin_kind,bin_hi,bin_lo,n_in_bin,n_success,success_rate,ci_lo,ci_hi,is_upper_bound,merged,n_seeds,n_total
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,10.844170195499023,-2.9618301463329724,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,22.622086782569102,10.844170195499023,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,22.622086782569102,10.844170195499023,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,35.965638124291566,22.622086782569102,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,35.965638124291566,22.622086782569102,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,51.3811118179294,35.965638124291566,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,51.3811118179294,35.965638124291566,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,69.62384703282407,51.3811118179294,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,69.62384703282407,51.3811118179294,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,91.9300509478696,69.62384703282407,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,91.9300509478696,69.62384703282407,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,120.67148878116222,91.9300509478696,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,120.67148878116222,91.9300509478696,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,161.15665892784293,120.67148878116222,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,161.15665892784293,120.67148878116222,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,230.50031699922812,161.15665892784293,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,230.50031699922812,161.15665892784293,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,1520.221326331233,230.50031699922812,500000,379505,0.75901,0.7578220428466482,0.7601949551895402,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,log_radius,1520.221326331233,230.50031699922812,500000,495933,0.991866,0.9916131616235171,0.9921131136607081,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,target_upper_tail_q,1.0,0.5,2500347,2500347,1.0,0.9999985246540849,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,target_upper_tail_q,1.0,0.5,2500347,2500347,1.0,0.9999985246540849,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,QF,target_upper_tail_q,1.0,0.5,2500347,2500347,1.0,0.9999985246540849,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,target_upper_tail_q,0.5,0.1,1999834,1999834,1.0,0.999998155408873,1.0,false,false,5,5000000
