phase,scope,layer,method,precision,stdlib,kappa,shape_a,n_seeds,n_attempted,n_finite,n_failed,n_avoidable,n_honest_overflow,cat_finite,cat_denominator_zero,cat_quotient_first_loss,cat_split_form_loss,cat_log_primitive_failure,cat_honest_overflow,cat_cap_reject,cat_cap_exhausted,failure_rate,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,avoidable_rate,avoidable_ci_lo,avoidable_ci_hi,avoidable_is_upper_bound,honest_rate,honest_ci_lo,honest_ci_hi,honest_is_upper_bound,accounting_ok,honest_floor_count,honest_floor_rate,honest_floor_ci_lo,honest_floor_ci_hi,honest_floor_is_upper_bound,near_limit_band_count,honest_minus_floor,within_boundary_band,x2_zero,x2_subnormal,rotation_recoverable,mean_abs_rel_err_log_vs_split,seconds,audit_near_limit_total,audit_near_limit_audited,audit_method_disagreement_total,audit_method_disagreement_audited,audit_subnormal_denominator_total,audit_subnormal_denominator_audited,audit_bulk_failure_total,audit_bulk_failure_audited,audit_uniform_sample_total,audit_uniform_sample_audited,arch,available,completed,reason_not_run,tag,case,out_of_domain
E2,pooled,native,QF,double,libstdc++,0.51,0.010000000000000009,5,5000000,4995967,4033,4033,0,4995967,2811,1222,0,0,0,0,0,0.0008066,0.0007819056930998896,0.0008318753097536218,false,0.0008066,0.0007819056930998896,0.0008318753097536218,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2811,1278,0,NA,0.40490000000000004,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,SPLIT,double,libc++,0.51,0.010000000000000009,5,5000000,4997068,2932,2932,0,4997068,2932,0,0,0,0,0,0,0.0005864,0.0005653703472055741,0.0006080114418922518,false,0.0005864,0.0005653703472055741,0.0006080114418922518,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2932,1258,0,NA,0.5106729999999999,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,SPLIT,double,libstdc++,0.51,0.010000000000000009,5,5000000,4997189,2811,2811,0,4997189,2811,0,0,0,0,0,0,0.0005622,0.0005416125846657065,0.0005833693091858412,false,0.0005622,0.0005416125846657065,0.0005833693091858412,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2811,1278,0,NA,0.406594,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,LOG,double,libc++,0.55,0.050000000000000044,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,0,0,0,NA,0.633644,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,LOG,double,libstdc++,0.55,0.050000000000000044,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,0,0,0,NA,0.47392500000000004,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,QF,double,libc++,0.55,0.050000000000000044,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,0,0,0,NA,0.526329,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,QF,double,libstdc++,0.55,0.050000000000000044,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,0,0,0,NA,0.416801,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,SPLIT,double,libc++,0.55,0.050000000000000044,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,0,0,0,NA,0.52634,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,SPLIT,double,libstdc++,0.55,0.050000000000000044,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,0,0,0,NA,0.416883,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,LOG,double,libc++,0.6,0.09999999999999998,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,0,0,0,NA,0.651865,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
