tag,precision,kappa,shape_a,method,p,n_attempted,n_success,target_log_r_quantile,rho_attempt,rho_attempt_lo,rho_attempt_hi,rho_cond,rho_cond_lo,rho_cond_hi,conditional_log_r_quantile,conditional_log_r_quantile_lo,conditional_log_r_quantile_hi,conditional_log_r_quantile_error,quantile_resolved,unconditional_failure_probability,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,bootstrap_resamples,interval_conf,n_seeds
libcxx,double,0.75,0.25,LOG,0.999,5000000,5000000,14.08481646403701,1.0137999999999991,0.9771999999999991,1.0500009999999989,1.0137999999999991,0.9771999999999991,1.0500009999999989,14.111052002712771,14.044146947538302,14.183397081123244,0.02623553867576156,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,double,0.75,0.25,LOG,0.9999,5000000,5000000,18.689986650025734,1.0960000000001207,0.9780000000001078,1.2180000000001343,1.0960000000001207,0.9780000000001078,1.2180000000001343,18.833235907773254,18.672953841976252,19.032418407204048,0.14324925774752018,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.55,0.050000011920928955,SPLIT,0.99,5000000,4971423,46.34998253326348,0.4270799999999996,0.4195198999999996,0.4344999999999996,0.42953496413401115,0.4217502715017407,0.4371184065407426,41.86778013823395,41.80155493770293,41.929635940659686,-4.482202395029532,true,0.0057154,0.005649510645476014,0.0057818627471894,false,10000,0.99,5
libcxx,float,0.55,0.050000011920928955,SPLIT,0.999,5000000,4971423,69.37582797341457,0.0,0.0,0.0,0.0,0.0,0.0,50.30313945582595,50.25562077787167,50.35688338804858,-19.072688517588624,true,0.0057154,0.005649510645476014,0.0057818627471894,false,10000,0.99,5
libcxx,float,0.55,0.050000011920928955,SPLIT,0.9999,5000000,4971423,92.4016734135668,0.0,0.0,0.0,0.0,0.0,0.0,51.99992607434622,51.97432933259813,52.035968147189635,-40.40174733922058,true,0.0057154,0.005649510645476014,0.0057818627471894,false,10000,0.99,5
libcxx,float,0.55,0.050000011920928955,LOG,0.99,5000000,4999327,46.34998253326348,0.9851599999999991,0.9740798999999992,0.9965800999999991,0.9852926203867032,0.9742110288044763,0.9967142577390908,46.202152095570916,46.10036999491392,46.30808465223286,-0.1478304376925621,true,0.0001346,0.00012462217239401564,0.00014516404408248493,false,10000,0.99,5
libcxx,float,0.55,0.050000011920928955,LOG,0.999,5000000,4999327,69.37582797341457,0.8847999999999993,0.8501999999999992,0.9189999999999992,0.8849191101122202,0.8503144523252821,0.9191237140519105,68.27429754705881,68.00456871612832,68.57686564759118,-1.1015304263557653,true,0.0001346,0.00012462217239401564,0.00014516404408248493,false,10000,0.99,5
libcxx,float,0.55,0.050000011920928955,LOG,0.9999,5000000,4999327,92.4016734135668,0.0,0.0,0.0,0.0,0.0,0.0,83.90474508970014,83.48322010334323,84.2856487383018,-8.496928323866655,true,0.0001346,0.00012462217239401564,0.00014516404408248493,false,10000,0.99,5
libcxx,float,0.6,0.10000002384185791,SPLIT,0.99,5000000,4999834,23.31616000246791,0.992499999999999,0.9812999999999992,1.004360099999999,0.9925329520940086,0.981332580241663,1.0043934458624018,23.280369503300395,23.228890133201592,23.332151981878184,-0.035790499167514866,true,3.32e-05,2.8341606618887448e-05,3.8652248646318015e-05,false,10000,0.99,5
libcxx,float,0.6,0.10000002384185791,SPLIT,0.999,5000000,4999834,34.82908272254346,0.9735999999999991,0.9385999999999992,1.010399999999999,0.9736323245931757,0.938631162554596,1.0104335463937393,34.671958925627116,34.49008236391322,34.86724459297397,-0.15712379691634482,true,3.32e-05,2.8341606618887448e-05,3.8652248646318015e-05,false,10000,0.99,5
