run_id,block,kappa,theta_perp,theta_par,ub_x,ub_y,ub_z,mode,lambda,seed,n_samples,n_nonfinite,file
127,A,2,1,2,0,0,1,capped,20,2003,100000,0,run_0127.bin
128,A,2,1,2,0,0,1,capped,20,2004,100000,0,run_0128.bin
129,A,2,1,2,0,0,1,capped,20,2005,100000,0,run_0129.bin
130,A,2,1,2,0,0,1,capped,50,2001,100000,0,run_0130.bin
131,A,2,1,2,0,0,1,capped,50,2002,100000,0,run_0131.bin
132,A,2,1,2,0,0,1,capped,50,2003,100000,0,run_0132.bin
133,A,2,1,2,0,0,1,capped,50,2004,100000,0,run_0133.bin
134,A,2,1,2,0,0,1,capped,50,2005,100000,0,run_0134.bin
135,A,2,1,2,0,0,1,capped,100,2001,100000,0,run_0135.bin
136,A,2,1,2,0,0,1,capped,100,2002,100000,0,run_0136.bin
137,A,2,1,2,0,0,1,capped,100,2003,100000,0,run_0137.bin
138,A,2,1,2,0,0,1,capped,100,2004,100000,0,run_0138.bin
139,A,2,1,2,0,0,1,capped,100,2005,100000,0,run_0139.bin
140,A,5,1,2,0,0,1,uncapped,inf,2001,100000,0,run_0140.bin
141,A,5,1,2,0,0,1,uncapped,inf,2002,100000,0,run_0141.bin
142,A,5,1,2,0,0,1,uncapped,inf,2003,100000,0,run_0142.bin
143,A,5,1,2,0,0,1,uncapped,inf,2004,100000,0,run_0143.bin
144,A,5,1,2,0,0,1,uncapped,inf,2005,100000,0,run_0144.bin
145,A,5,1,2,0,0,1,capped,3,2001,100000,0,run_0145.bin
146,A,5,1,2,0,0,1,capped,3,2002,100000,0,run_0146.bin
147,A,5,1,2,0,0,1,capped,3,2003,100000,0,run_0147.bin
148,A,5,1,2,0,0,1,capped,3,2004,100000,0,run_0148.bin
149,A,5,1,2,0,0,1,capped,3,2005,100000,0,run_0149.bin
150,A,5,1,2,0,0,1,capped,5,2001,100000,0,run_0150.bin
151,A,5,1,2,0,0,1,capped,5,2002,100000,0,run_0151.bin
152,A,5,1,2,0,0,1,capped,5,2003,100000,0,run_0152.bin
153,A,5,1,2,0,0,1,capped,5,2004,100000,0,run_0153.bin
154,A,5,1,2,0,0,1,capped,5,2005,100000,0,run_0154.bin
155,A,5,1,2,0,0,1,capped,10,2001,100000,0,run_0155.bin
156,A,5,1,2,0,0,1,capped,10,2002,100000,0,run_0156.bin
157,A,5,1,2,0,0,1,capped,10,2003,100000,0,run_0157.bin
158,A,5,1,2,0,0,1,capped,10,2004,100000,0,run_0158.bin
159,A,5,1,2,0,0,1,capped,10,2005,100000,0,run_0159.bin
160,A,5,1,2,0,0,1,capped,20,2001,100000,0,run_0160.bin
161,A,5,1,2,0,0,1,capped,20,2002,100000,0,run_0161.bin
162,A,5,1,2,0,0,1,capped,20,2003,100000,0,run_0162.bin
163,A,5,1,2,0,0,1,capped,20,2004,100000,0,run_0163.bin
164,A,5,1,2,0,0,1,capped,20,2005,100000,0,run_0164.bin
165,A,5,1,2,0,0,1,capped,50,2001,100000,0,run_0165.bin
166,A,5,1,2,0,0,1,capped,50,2002,100000,0,run_0166.bin
167,A,5,1,2,0,0,1,capped,50,2003,100000,0,run_0167.bin
168,A,5,1,2,0,0,1,capped,50,2004,100000,0,run_0168.bin
169,A,5,1,2,0,0,1,capped,50,2005,100000,0,run_0169.bin
170,A,5,1,2,0,0,1,capped,100,2001,100000,0,run_0170.bin
171,A,5,1,2,0,0,1,capped,100,2002,100000,0,run_0171.bin
172,A,5,1,2,0,0,1,capped,100,2003,100000,0,run_0172.bin
173,A,5,1,2,0,0,1,capped,100,2004,100000,0,run_0173.bin
174,A,5,1,2,0,0,1,capped,100,2005,100000,0,run_0174.bin
175,A,10,1,2,0,0,1,uncapped,inf,2001,100000,0,run_0175.bin
176,A,10,1,2,0,0,1,uncapped,inf,2002,100000,0,run_0176.bin
177,A,10,1,2,0,0,1,uncapped,inf,2003,100000,0,run_0177.bin
178,A,10,1,2,0,0,1,uncapped,inf,2004,100000,0,run_0178.bin
179,A,10,1,2,0,0,1,uncapped,inf,2005,100000,0,run_0179.bin
180,A,10,1,2,0,0,1,capped,3,2001,100000,0,run_0180.bin
181,A,10,1,2,0,0,1,capped,3,2002,100000,0,run_0181.bin
182,A,10,1,2,0,0,1,capped,3,2003,100000,0,run_0182.bin
183,A,10,1,2,0,0,1,capped,3,2004,100000,0,run_0183.bin
184,A,10,1,2,0,0,1,capped,3,2005,100000,0,run_0184.bin
185,A,10,1,2,0,0,1,capped,5,2001,100000,0,run_0185.bin
186,A,10,1,2,0,0,1,capped,5,2002,100000,0,run_0186.bin
187,A,10,1,2,0,0,1,capped,5,2003,100000,0,run_0187.bin
188,A,10,1,2,0,0,1,capped,5,2004,100000,0,run_0188.bin
189,A,10,1,2,0,0,1,capped,5,2005,100000,0,run_0189.bin
190,A,10,1,2,0,0,1,capped,10,2001,100000,0,run_0190.bin
191,A,10,1,2,0,0,1,capped,10,2002,100000,0,run_0191.bin
192,A,10,1,2,0,0,1,capped,10,2003,100000,0,run_0192.bin
193,A,10,1,2,0,0,1,capped,10,2004,100000,0,run_0193.bin
194,A,10,1,2,0,0,1,capped,10,2005,100000,0,run_0194.bin
195,A,10,1,2,0,0,1,capped,20,2001,100000,0,run_0195.bin
196,A,10,1,2,0,0,1,capped,20,2002,100000,0,run_0196.bin
197,A,10,1,2,0,0,1,capped,20,2003,100000,0,run_0197.bin
198,A,10,1,2,0,0,1,capped,20,2004,100000,0,run_0198.bin
199,A,10,1,2,0,0,1,capped,20,2005,100000,0,run_0199.bin
200,A,10,1,2,0,0,1,capped,50,2001,100000,0,run_0200.bin
201,A,10,1,2,0,0,1,capped,50,2002,100000,0,run_0201.bin
202,A,10,1,2,0,0,1,capped,50,2003,100000,0,run_0202.bin
203,A,10,1,2,0,0,1,capped,50,2004,100000,0,run_0203.bin
204,A,10,1,2,0,0,1,capped,50,2005,100000,0,run_0204.bin
205,A,10,1,2,0,0,1,capped,100,2001,100000,0,run_0205.bin
206,A,10,1,2,0,0,1,capped,100,2002,100000,0,run_0206.bin
207,A,10,1,2,0,0,1,capped,100,2003,100000,0,run_0207.bin
208,A,10,1,2,0,0,1,capped,100,2004,100000,0,run_0208.bin
209,A,10,1,2,0,0,1,capped,100,2005,100000,0,run_0209.bin
210,C,0.75,1,1,0,0,1,uncapped,inf,2001,100000,0,run_0210.bin
211,C,0.75,1,1,0,0,1,uncapped,inf,2002,100000,0,run_0211.bin
212,C,0.75,1,1,0,0,1,uncapped,inf,2003,100000,0,run_0212.bin
213,C,0.75,1,1,0,0,1,uncapped,inf,2004,100000,0,run_0213.bin
214,C,0.75,1,1,0,0,1,uncapped,inf,2005,100000,0,run_0214.bin
