scope,tag,stdlib,arch,case,method,precision,kappa,cap,block,slot,candidate_first,seed,n_returned,n_finite,n_nonfinite,attempts_reported,seconds,seconds_per_returned,ratio_candidate_over_legacy,ratio_lo,ratio_hi,ratio_conf,boot_kind,boot_resamples,boot_rng_seed,boot_n_seeds,pre_registered_bound,repeat_identical,protocol_sha256
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,6,0,true,9007,35199143,35194272,4871,35199143,2.26976413,6.448350532284267e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,6,1,true,9007,31098329,30922189,176140,0,2.2849815,7.34760218145483e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,7,0,true,9008,35199143,35194251,4892,35199143,2.27439821,6.461515861337874e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,7,1,true,9008,31098329,30921849,176480,0,2.28317542,7.341794525358582e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,8,1,false,9009,35199143,35194244,4899,35199143,2.27227696,6.455489439046854e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,8,0,false,9009,31098329,30921585,176744,0,2.27666317,7.320853689598563e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,9,0,true,9010,35199143,35194315,4828,35199143,2.26901375,6.446218733223135e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,9,1,true,9010,31098329,30922027,176302,0,2.27977208,7.33085074763985e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,0,1,false,9006,28946293,28946293,0,28946293,2.3018455,7.952125337776413e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,0,0,false,9006,23523697,23523697,0,0,2.3311825,9.909932524636753e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,1,1,false,9007,28946293,28946293,0,28946293,2.31311387,7.991053897644165e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,1,0,false,9007,23523697,23523697,0,0,2.34353442,9.96244092499576e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,2,0,true,9008,28946293,28946293,0,28946293,2.30309758,7.956450876110458e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,2,1,true,9008,23523697,23523697,0,0,2.32609792,9.888317797155778e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,3,1,false,9009,28946293,28946293,0,28946293,2.30291229,7.955810752692928e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,3,0,false,9009,23523697,23523697,0,0,2.33275163,9.916602925977155e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,4,1,false,9010,28946293,28946293,0,28946293,2.30281,7.955457370655372e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,4,0,false,9010,23523697,23523697,0,0,2.344555,9.966779456477441e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,5,0,true,9006,28946293,28946293,0,28946293,2.29605129,7.932108239213912e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,5,1,true,9006,23523697,23523697,0,0,2.32839883,9.898099070056889e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,6,1,false,9007,28946293,28946293,0,28946293,2.30224538,7.953506775461715e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,6,0,false,9007,23523697,23523697,0,0,2.32651425,9.890087642261332e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,7,0,true,9008,28946293,28946293,0,28946293,2.30223404,7.953467620188879e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,7,1,true,9008,23523697,23523697,0,0,2.33855012,9.941252537813252e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,8,0,true,9009,28946293,28946293,0,28946293,2.30826275,7.974294843211875e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,8,1,true,9009,23523697,23523697,0,0,2.34069854,9.950385524010108e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,CANDIDATE,double,0.75,NA,9,1,false,9010,28946293,28946293,0,28946293,2.31371387,7.993126701923455e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B2,LEGACY,double,0.75,NA,9,0,false,9010,23523697,23523697,0,0,2.33618604,9.93120273994347e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,0,1,false,9006,1020161,1020161,0,28174436,2.30408192,2.258547343997663e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,0,0,false,9006,1000000,1000000,0,0,2.49101738,2.4910173750000004e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,1,1,false,9007,1020161,1020161,0,28219360,2.3028835,2.2573726107937865e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,1,0,false,9007,1000000,1000000,0,0,2.48629146,2.4862914580000004e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,2,1,false,9008,1020161,1020161,0,28167334,2.29212688,2.2468285643148486e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,2,0,false,9008,1000000,1000000,0,0,2.48454667,2.484546667e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,3,1,false,9009,1020161,1020161,0,28196928,2.30097058,2.2554974989241895e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,3,0,false,9009,1000000,1000000,0,0,2.48077021,2.480770208e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
